common_name,latin_name
Allium,Allium
Aromatic Aster,Symphyotrichum oblongifolium
Bee balm,Monarda
Black Cherry,Prunus serotina
Blue Wild Indigo,Baptisia australis
Blueberry bushes,Vaccinium corymbosum
Buttonbush,Cephalanthus occidentalis
Butterfly bush,Buddleia
Catmint,Nepeta
Clove Pink,Dianthus
Cornflower,Centaurea
Daylily,Hemerocallis
False indigo,Baptisia
Fleabane,Erigeron
Floss flower,Ageratum
Globe thistle,Echinops
Goldenrod,Solidago
Grey Dogwood,Cornus racemosa
Helen’s flower,Helenium
Hollyhock,Alcea
Hoptree,Ptelea trifoliata
Joe-Pye weeds,Eupatorium purpureum
Lavender,Lavendula
Lilac,Syringa
Lupine,Lupinus
Lychnis,Lychnis
Mallow,Malva
Milkweed,Asclepias tuberosa
Mint,Mentha
New York Ironweed,Vernonia noveboracensis
Ninebark,Physocarpus opulifolius
Northern Spicebush,Lindera benzoin
Pansy,Viola
Phlox,Phlox
Pipevine,Aristolochia macrophylla
Privet,Ligustrum
Purple coneflower,Echinacea
Rock cress,Arabis
Sage,Salvia
Sea holly,Eryngium
"Senna, American",Senna hebacarpa
"Senna, Maryland",Senna marilandica
Shasta daisy,Chrysanthemum
Snapdragon,Antirrhinum
Stonecrop,Sedum
Sweet alyssum,Lobularia
Sweet rocket,Hesperis
Tickseed,Coreopsis
Tuliptree,Liriodendron tulipifera
Trumpet Vine,Campsis radicans
Zinnia,Zinnia